000001.jpg,,,-14.94822
000002.jpg,,,-14.91463
000003.jpg,,,-14.88779
000004.jpg,,,-14.86792
000005.jpg,,,-14.84267
000006.jpg,,,-14.81913
000007.jpg,,,-14.79018
000008.jpg,,,-14.75831
000009.jpg,,,-14.72614
000010.jpg,,,-14.69059
000011.jpg,,,-14.64993
000012.jpg,,,-14.60868
000013.jpg,,,-14.56322
000014.jpg,,,-14.51499
000015.jpg,,,-14.43974
000016.jpg,,,-14.37397
000017.jpg,,,-14.30826
000018.jpg,,,-14.23014
000019.jpg,,,-14.10506
000020.jpg,,,-14.01125
000021.jpg,,,-13.85584
000022.jpg,,,-13.67983
000023.jpg,,,-13.55095
000024.jpg,,,-13.41288
000025.jpg,,,-13.26451
000026.jpg,,,-13.10554
000027.jpg,,,-12.93652
000028.jpg,,,-12.66278
000029.jpg,,,-12.46663
000030.jpg,,,-12.26003
000031.jpg,,,-11.92981
000032.jpg,,,-11.69689
000033.jpg,,,-11.45531
000034.jpg,,,-11.07674
000035.jpg,,,-10.81504
000036.jpg,,,-10.41004
000037.jpg,,,-10.13299
000038.jpg,,,-9.708032
000039.jpg,,,-9.41969
000040.jpg,,,-9.13247
000041.jpg,,,-8.695733
000042.jpg,,,-8.247208
000043.jpg,,,-7.95087
000044.jpg,,,-7.659249
000045.jpg,,,-7.363328
000046.jpg,,,-6.942358
000047.jpg,,,-6.500967
000048.jpg,,,-6.218375
000049.jpg,,,-5.812912
000050.jpg,,,-5.540367
000051.jpg,,,-5.272771
000052.jpg,,,-5.010593
000053.jpg,,,-4.619967
000054.jpg,,,-4.258699
000055.jpg,,,-4.021208
000056.jpg,,,-3.673303
000057.jpg,,,-3.37107
000058.jpg,,,-3.069876
000059.jpg,,,-2.88484
000060.jpg,,,-2.710981
000061.jpg,,,-2.33744
